"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-15","0.3",,"17.7","23.2","12.6"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-16","0.0",,"20.7","27.7","15.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-17","1.0",,"20.1","24.4","16.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-18","7.9",,"19.3","23.4",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-19","0.0",,"17.0","21.1",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-20","0.0",,"17.5","22.9","12.6"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-21","0.0",,"18.6","24.9","12.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-22",,,"18.4",,"13.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-23","0.3",,"20.7","26.7","15.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-24","13.0",,"17.6","19.6",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-25","0.0",,"16.8","21.6","12.9"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-26","0.0",,"18.1","22.4","14.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-27","0.0",,"18.9","23.8","14.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-28","0.0",,"17.4","22.6","11.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-29","0.0",,"17.2","23.7","11.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-30","0.0",,"17.2","22.6","12.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-08-31","0.0",,"17.1","21.3",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-01","0.0",,"14.1","18.5","8.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-02","0.0",,"16.3","22.2","11.6"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-03","0.0",,"18.7","25.9","12.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-04","0.0",,"21.4","28.0","14.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-05","0.0",,"24.2","31.9","17.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-06","0.0",,"20.0","25.0","16.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-07","0.0",,"17.2","20.4",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-08","0.5",,"15.9","21.2",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-09","2.8",,"12.8","17.5","9.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-10","7.9",,"11.8","15.3","9.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-11","7.1",,"13.7","17.7","11.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-12","2.0",,"13.6","17.3","10.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-13","2.0",,"13.8",,"10.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-14","14.0",,"14.7",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-15","0.0",,"12.6","16.9","8.6"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-16","7.4",,"12.2","16.3",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-17","4.1",,"10.4","14.0","6.9"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-18","3.8",,"12.2","14.1",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-19","2.0",,"11.4","14.8","7.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-20","2.0",,"13.6","16.3",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-21","0.0",,"13.0","17.3","8.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-22","0.0",,"16.2","19.5","13.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-23","0.0",,"15.9","20.7",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-24","0.0",,"15.4","22.2","10.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-25","0.0",,"15.3","20.8","10.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-26","0.5",,"14.9","19.0",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-27","0.0",,"11.8","17.5","8.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-28","0.0",,"13.4","18.8","9.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-29","0.0",,"13.5","18.4","9.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-09-30","0.0",,"12.2","18.2","7.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-01","0.0",,"12.3","18.6","6.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-02","0.0",,"12.9","20.3","7.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-03","0.0",,"15.4","22.5","10.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-04","4.1",,"17.3","20.9","14.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-05","0.0",,"15.0","18.5",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-06","0.0",,"14.1","18.9",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-07","0.0",,"13.3","19.3","9.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-08","0.0",,"14.2","19.0","10.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-09","1.5",,"13.9","16.1",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-10","6.9",,"8.3","12.2","5.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-11","2.3",,"7.8","9.6","6.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-12","0.5",,"7.4","11.5",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-13","13.0",,"8.2","9.1","7.1"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-14","11.9",,"9.8","11.6","8.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-15","5.1",,"10.3","13.3","9.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-16","2.3",,"10.7","12.9",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-17","4.1",,"12.9","15.0","9.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-18","2.0",,"13.1","17.7",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-19","0.0",,"14.1","17.7","9.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-20","0.0",,"15.3","18.3",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-21","0.3",,"15.4","18.3","12.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-22","0.8",,"17.4","22.9","14.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-23","8.9",,"15.6","18.5",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-24","0.0",,"12.8","17.3","10.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-25","0.3",,"15.8","19.0","10.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-26","0.5",,"17.0","20.6","15.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2013-10-27","3.0",,"14.6","16.5",
