"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-04","0.0","28.6","32.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-05","3.0","27.6","31.7",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-06","20.8","26.4","28.0","25.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-07","13.2","26.2","27.7","25.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-08","2.3","26.8","30.4","25.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-09","0.0","28.3","32.1","24.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-10","0.0","29.1","33.4","25.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-11","0.0","29.5","33.8","26.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-12","0.0","29.9","34.0","26.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-13",,"24.4","31.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-14","0.0","23.9","26.0","21.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-15","0.0","24.4","29.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-16","0.0","26.7","31.7","21.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-17","0.0","27.4","31.2","22.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-18","0.0","27.9","31.5","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-19","0.0","26.1","29.9",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-20","40.9","25.2","28.3","22.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-21","0.8","28.3","32.4","24.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-22","1.5","29.3","33.7","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-23","0.0","29.3","33.8","25.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-24","0.0","29.1","33.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-25","0.5","27.9","31.4","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-26","7.4","27.5","30.9","25.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-27","7.1","27.9","32.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-28","22.9","28.6","31.7","24.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-29","0.0","27.6","31.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-30","0.0","26.6","31.2","22.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-01","0.0","26.6","31.8","21.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-02","0.0","27.1","31.9","22.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-03","0.0","27.1","31.7","24.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-04","51.8","26.1","29.0","23.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-05","2.8","24.9","27.0",
